keys,en,fr
UI_LEADERBOARD_FRIENDS_TITLE,Friends leaderboard,Classement amis
UI_LEADERBOARD_TOP_100,Top 100,Top 100
UI_LEADERBOARD_FRIENDS_DROPDOWN,My friends,Mes amis
UI_TAB_PROFILE,Profile,Profil
UI_HOME_HELLO,Hey {name},Salut {name}
UI_HOME_QUIZ_HINT,Tap the Quiz button below to start a round.,Appuie sur le bouton Quiz pour lancer une partie.
UI_HOME_TODAY,Today,Aujourd'hui
UI_HOME_RESUME_TITLE,Pick up where you left off — {category},Reprends là où tu t'étais arrêté — {category}
UI_HOME_RESUME_DETAIL,Last score {score} · {result},Dernier score {score} · {result}
UI_HOME_SUGGEST_TITLE,Train {category},Entraîne-toi en {category}
UI_HOME_SUGGEST_DETAIL,Your accuracy there is {percent}% — one round can help.,Ta précision y est de {percent}% — une partie peut aider.
UI_HOME_START_TITLE,Ready for a round?,Prêt pour une partie ?
UI_HOME_RANK,World rank,Classement
UI_HOME_LAST_MATCH,Last match,Dernière partie
UI_HOME_LAST_MATCH_LINE,{category} · {score} pts · {result} · {time},{category} · {score} pts · {result} · {time}
UI_HOME_NO_LAST_MATCH,No matches yet. Start with the Quiz button.,Pas encore de partie. Lance-toi avec le bouton Quiz.
UI_HOME_DAILY_CHALLENGES,Daily challenges,Défis du jour
UI_HOME_DAILY_CHALLENGE_SCIENCE_TITLE,Science mastery,Maîtrise des sciences
UI_HOME_DAILY_CHALLENGE_SCIENCE_DESC,Win 3 games in the Science category,Gagne 3 parties dans la catégorie Sciences
UI_HOME_DAILY_CHALLENGE_STREAK_TITLE,Win streak,Série de victoires
UI_HOME_DAILY_CHALLENGE_STREAK_DESC,Win 5 games in a row,Remporte 5 parties consécutives
UI_HOME_DAILY_CHALLENGE_FRIENDS_TITLE,Friend challenge,Défi amis
UI_HOME_DAILY_CHALLENGE_FRIENDS_DESC,Play 2 games with a friend,Joue 2 parties avec un ami
UI_HOME_DAILY_CHALLENGE_XP,+ {xp} XP,+ {xp} XP
UI_HOME_DAILY_PROGRESS,{current} / {target},{current} / {target}
UI_HOME_NEAR_ACHIEVEMENTS,Almost unlocked,Succès proches
UI_HOME_NEAR_ACHIEVEMENTS_EMPTY,Play a few rounds to get close to new badges.,Joue quelques parties pour approcher de nouveaux succès.
UI_HOME_NEAR_REMAINING,{n} left,Plus que {n}
UI_SOCIAL_CHALLENGE_HINT,Ready for a challenge,Prêt pour un défi
UI_SOCIAL_FRIENDS,Friends,Amis
UI_SOCIAL_FRIENDS_EMPTY,No friends yet. Add players as you meet them.,Aucun ami pour l'instant. Ajoute des joueurs au fur et à mesure.
UI_SOCIAL_FRIEND_ONLINE,Online,En ligne
UI_SOCIAL_FRIEND_AWAY,Away,Absent
UI_SOCIAL_FRIEND_OFFLINE,Offline,Hors ligne
UI_SOCIAL_FRIEND_ACCURACY,Best accuracy,Meilleure précision
UI_SOCIAL_FRIEND_LAST_GAME,Last game,Dernière partie
UI_SOCIAL_FRIEND_CHALLENGE,Challenge,Proposer un défi
UI_SOCIAL_FRIEND_CHALLENGE_SENT,Challenge sent to {name}.,Défi proposé à {name}.
UI_SOCIAL_FRIEND_REQUESTS,Friend requests,Demandes d'amis
UI_SOCIAL_FRIEND_REQUESTS_EMPTY,No pending friend requests.,Aucune demande d'ami en attente.
UI_SOCIAL_FRIEND_REQUEST_ACCEPTED,Friend request from {name} accepted.,Demande d'ami de {name} acceptée.
UI_SOCIAL_FRIEND_REQUEST_DECLINED,Friend request from {name} declined.,Demande d'ami de {name} refusée.
UI_SOCIAL_SEARCH_PLAYER,Search for a player,Rechercher un joueur
UI_SOCIAL_SEARCH_PLACEHOLDER,Username...,Nom d'utilisateur...
UI_SOCIAL_ADD_FRIEND,Add a friend,Ajouter un ami
UI_SOCIAL_ADD_FRIEND_SENT,Friend request sent to {name}.,Demande d'ami envoyée à {name}.
UI_SOCIAL_ADD_FRIEND_EMPTY,Enter a username first.,Entre d'abord un nom d'utilisateur.
UI_SOCIAL_CREATE_CHALLENGE,Create a challenge,Créer un défi
UI_SOCIAL_CREATE_BUTTON,Create,Créer
UI_SOCIAL_JOIN_CHALLENGE,Join a challenge,Rejoindre un défi
UI_SOCIAL_CODE_PLACEHOLDER,Enter code,Entrer le code
UI_SOCIAL_JOIN_BUTTON,Join,Rejoindre
UI_SOCIAL_CHALLENGE_HEADER,{category} challenge - code {code},Défi {category} - code {code}
UI_SOCIAL_COPY_CODE,Copy code,Copier le code
UI_SOCIAL_STATUS_PENDING,Waiting for an opponent to join,En attente qu'un adversaire rejoigne
UI_SOCIAL_STATUS_ACCEPTED,Challenge accepted - play whenever you are ready,Défi accepté - joue quand tu es prêt
UI_SOCIAL_REFRESH,Refresh,Rafraîchir
UI_SOCIAL_NEW_CHALLENGE,New challenge,Nouveau défi
UI_SOCIAL_RESULT_WIN,You won {my_score} to {opponent_score},Tu as gagné {my_score} à {opponent_score}
UI_SOCIAL_RESULT_LOSS,You lost {my_score} to {opponent_score},Tu as perdu {my_score} à {opponent_score}
UI_SOCIAL_RESULT_TIE,Tied at {my_score},Égalité à {my_score}
UI_SOCIAL_CREATING,Creating challenge...,Création du défi...
UI_SOCIAL_JOINING,Joining challenge...,Connexion au défi...
UI_SOCIAL_ERROR_OFFLINE,Backend unreachable - try again later,Serveur injoignable - réessaie plus tard
UI_SOCIAL_ERROR_JOIN,Could not join this challenge - check the code,Impossible de rejoindre ce défi - vérifie le code
UI_SOCIAL_LIVE_TITLE,Live match,Match en direct
UI_SOCIAL_LIVE_SEARCH,Find an opponent,Chercher un adversaire
UI_SOCIAL_LIVE_SEARCHING,Searching for an opponent...,Recherche d'un adversaire...
UI_SOCIAL_LIVE_CANCEL,Cancel,Annuler
UI_SOCIAL_LIVE_HEADER,vs {opponent} - you {my_score} / them {opponent_score},vs {opponent} - toi {my_score} / lui {opponent_score}
UI_SOCIAL_LIVE_POINTS,+{points} points,+{points} points
UI_SOCIAL_LIVE_CLOSE,Close,Fermer
UI_COMING_SOON,Coming soon,Bientôt disponible
UI_COMING_SOON_DESC,This feature is under development.,Cette fonctionnalité est en cours de développement.
UI_PROFILE_STATS_TITLE,Statistics,Statistiques
UI_PROFILE_CATEGORIES_TITLE,Categories,Catégories
UI_PROFILE_BADGES_TITLE,Achievements,Succès
UI_PROFILE_HISTORY_TITLE,Last games,Dernières parties
UI_PROFILE_XP_PROGRESS,{current} / {target} XP,{current} / {target} XP
UI_PROFILE_DEMO_HINT,Sample data shown for preview.,Données d'exemple affichées en aperçu.
UI_PROFILE_CORRECT_ANSWERS,Correct answers,Bonnes réponses
UI_PROFILE_WIN_STREAK,Win streak,Série de victoires
UI_PROFILE_BEST_STREAK,Best streak,Meilleure série
UI_PROFILE_BEST_SCORE,Best score,Meilleur score
UI_PROFILE_NO_CATEGORIES,No categories played yet.,Aucune catégorie jouée pour l'instant.
UI_PROFILE_NO_HISTORY,No recent matches yet.,Aucune partie récente pour l'instant.
UI_PROFILE_CATEGORY_META,{games} games · {accuracy}% accuracy,{games} parties · {accuracy}% de précision
UI_PROFILE_HISTORY_LINE,Score {score} · {correct}/{total} correct · {time},Score {score} · {correct}/{total} bonnes · {time}
UI_PROFILE_TIME_NOW,Just now,À l'instant
UI_PROFILE_TIME_MINUTES,{minutes}m ago,Il y a {minutes} min
UI_PROFILE_TIME_HOURS,{hours}h ago,Il y a {hours} h
UI_PROFILE_TIME_DAYS,{days}d ago,Il y a {days} j
UI_PROFILE_BADGE_LOCKED,Complete the challenge to unlock this badge.,Terminez le défi pour débloquer ce succès.
UI_RANK_ROOKIE,Rookie,Débutant
UI_RANK_APPRENTICE,Apprentice,Apprenti
UI_RANK_CHALLENGER,Challenger,Challenger
UI_RANK_EXPERT,Expert,Expert
UI_RANK_MASTER,Master,Maître
UI_RANK_LEGEND,Legend,Légende
UI_LEAGUE_BRONZE,Bronze,Bronze
UI_LEAGUE_SILVER,Silver,Argent
UI_LEAGUE_GOLD,Gold,Or
UI_LEAGUE_PLATINUM,Platinum,Platine
UI_LEAGUE_DIAMOND,Diamond,Diamant
UI_MASTERY_0,Not started,Non commencé
UI_MASTERY_1,Beginner,Débutant
UI_MASTERY_2,Skilled,Confirmé
UI_MASTERY_3,Expert,Expert
UI_MASTERY_4,Master,Maître
UI_ACH_FIRST_MATCH,First Quiz,Premier quiz
UI_ACH_FIRST_MATCH_DESC,Play your first quiz.,Jouez votre premier quiz.
UI_ACH_FIRST_WIN,First Victory,Première victoire
UI_ACH_FIRST_WIN_DESC,Win your first quiz.,Remportez votre premier quiz.
UI_ACH_STREAK_3,Hot Streak,Série en feu
UI_ACH_STREAK_3_DESC,Reach a win streak of 3.,Atteignez une série de 3 victoires.
UI_ACH_TEN_MATCHES,Regular Player,Joueur assidu
UI_ACH_TEN_MATCHES_DESC,Play 10 quizzes.,Jouez 10 quiz.
UI_ACH_SCORE_500,High Scorer,Score élevé
UI_ACH_SCORE_500_DESC,Score 500 points in a single round.,Marquez 500 points en une manche.
UI_ACH_PERFECT,Perfect Round,Manche parfaite
UI_ACH_PERFECT_DESC,Answer every question correctly in a round.,Répondez correctement à toutes les questions d'une manche.
UI_ACH_LEVEL_5,Rising Star,Étoile montante
UI_ACH_LEVEL_5_DESC,Reach level 5.,Atteignez le niveau 5.
UI_ACH_EXPLORER,Explorer,Explorateur
UI_ACH_EXPLORER_DESC,Play quizzes in at least 2 categories.,Jouez dans au moins 2 catégories.
UI_ACH_STREAK_10,10-win streak,Série de 10
UI_ACH_STREAK_10_DESC,10 wins in a row,10 victoires de suite
UI_ACH_UNBEATABLE,Unbeatable,Imbattable
UI_ACH_UNBEATABLE_DESC,100 wins,100 victoires
UI_ACH_EXPERT,Expert,Expert
UI_ACH_EXPERT_DESC,Reach level 20,Atteindre le niveau 20
UI_ACH_PRECISION,Precision,Précision
UI_ACH_PRECISION_DESC,75% correct answers,75% de bonnes réponses
UI_ACH_FAST,Fast,Rapide
UI_ACH_FAST_DESC,Answer in under 3 sec,Répondre en moins de 3 sec
UI_ACH_GOLDEN_BRAIN,Golden brain,Cerveau d'or
UI_ACH_GOLDEN_BRAIN_DESC,Win 50 gold matches,Gagner 50 parties en or
UI_PROFILE_EDIT,Edit profile,Modifier le profil
UI_PROFILE_EMAIL_VERIFIED,Email verified,Adresse e-mail vérifiée
UI_PROFILE_XP_TO_NEXT,{xp} XP to next level,{xp} XP avant le prochain niveau
UI_PROFILE_LEVEL_CAPTION,Level,Niveau
UI_PROFILE_NEXT_LEVEL,Next level: {xp} XP,Prochain niveau : {xp} XP
UI_PROFILE_XP_LABEL,XP,XP
UI_PROFILE_LEAGUE,League,Ligue
UI_PROFILE_STAT_GAMES,Games,Parties
UI_PROFILE_STAT_WINS,Wins,Victoires
UI_PROFILE_STAT_WINRATE,Winrate,Winrate
UI_PROFILE_STAT_STREAK,Max streak,Série max
UI_PROFILE_STAT_RANK,Ranking,Classement
UI_PROFILE_RANKING_TITLE,Ranking points,Points de classement
UI_PROFILE_CATEGORIES_MASTERED,Mastered categories,Catégories maîtrisées
UI_PROFILE_CATEGORIES_ALL,All categories,Toutes les catégories
UI_PROFILE_BEST_SUBJECT,Best subject,Meilleur sujet
UI_PROFILE_BEST_SUBJECT_ACC,{percent}% correct answers,{percent}% de bonnes réponses
UI_SOCIAL_BEST_CATEGORY,Best category,Meilleure catégorie
UI_PROFILE_WIN_SPLIT,Victory breakdown,Répartition des victoires
UI_PROFILE_WINS_COUNT,{count} wins,{count} victoires
UI_PROFILE_WIN,Win,Victoire
UI_PROFILE_LOSS,Loss,Défaite
UI_PROFILE_BADGES_RECENT,Recent achievements,Succès récents
UI_PROFILE_BADGES_ALL,All achievements,Tous les succès
UI_PROFILE_WORLD_RANK,World ranking,Classement mondial
UI_PROFILE_TOP_PERCENT,TOP {percent}%,TOP {percent}%
UI_PROFILE_SEE_LEADERBOARD,View leaderboard,Voir le classement
UI_PROFILE_SEE_ALL,See all,Voir tout
UI_PROFILE_BEST_SEASON,Best season,Meilleure saison
UI_PROFILE_SEASON_LOCKED,Seasons are not available yet.,Les saisons ne sont pas encore disponibles.
UI_PROFILE_SEASON_COMING_SOON,Coming soon,Bientôt disponible
UI_PROFILE_SEASON_N,Season {n},Saison {n}
UI_PROFILE_SEASON_BEST_RANKING,Best ranking,meilleur classement
UI_PROFILE_SEASON_WINS_THIS,Season wins,victoires cette saison
UI_PROFILE_SEASON_WINRATE,Season winrate,Winrate saison
UI_PROFILE_SEASON_META,{wins} wins · {rate}% winrate,{wins} victoires · {rate}% winrate
UI_PROFILE_SEASON_BEST_RANK,Best rank,Meilleur rang
UI_PROFILE_SEASON_WINS,Season wins,Victoires saison
UI_PROFILE_MATCH_SCORE,{mine} - {theirs},{mine} - {theirs}
UI_RESULTS_VICTORY,VICTORY!,VICTOIRE !
UI_RESULTS_DEFEAT,DEFEAT,DÉFAITE
UI_RESULTS_VICTORY_SUB,Well played!,Bien joué !
UI_RESULTS_DEFEAT_SUB,"Keep going, you'll get it next time.","Continuez, ce sera pour la prochaine."
UI_RESULTS_XP_GAINED,+{xp} XP,+{xp} XP
UI_RESULTS_LEVEL,Level {level},Niveau {level}
UI_RESULTS_LEVEL_UP,Level up! Level {level},Niveau supérieur ! Niveau {level}
UI_RESULTS_XP_PROGRESS,{current} / {needed} XP,{current} / {needed} XP
UI_RESULTS_NEW_ACHIEVEMENTS,New achievements,Nouveaux succès
UI_RESULTS_STREAK,🔥 {count} wins in a row!,🔥 {count} victoires d'affilée !
UI_SETTINGS_SOUND,Sound effects,Effets sonores
UI_SETTINGS_VOLUME,Volume,Volume
UI_DAILY_RESET_IN,Resets in {time},Renouvellement dans {time}
UI_DAILY_CLAIM,Claim,Récupérer
UI_DAILY_CATEGORY_GAMES_TITLE,{category} mastery,Maîtrise : {category}
UI_DAILY_CATEGORY_GAMES_DESC,Play {n} games in the {category} category,Joue {n} parties dans la catégorie {category}
UI_DAILY_WIN_GAMES_TITLE,Winner,Victorieux
UI_DAILY_WIN_GAMES_DESC,Win {n} games,Gagne {n} parties
UI_DAILY_WIN_STREAK_TITLE,Win streak,Série de victoires
UI_DAILY_WIN_STREAK_DESC,Win {n} games in a row,Remporte {n} parties consécutives
UI_DAILY_CORRECT_ANSWERS_TITLE,Sharp mind,Bon élève
UI_DAILY_CORRECT_ANSWERS_DESC,Answer {n} questions correctly,Réponds juste à {n} questions
UI_DAILY_COMBO_TITLE,Combo master,Enchaînement
UI_DAILY_COMBO_DESC,Reach a x{n} combo,Atteins un combo de x{n}
UI_DAILY_PLAY_CHALLENGE_TITLE,Friend challenge,Défi amis
UI_DAILY_PLAY_CHALLENGE_DESC,Play {n} challenge against a friend,Joue {n} défi contre un ami
UI_DAILY_CATEGORIES_VARIETY_TITLE,Curious,Curieux
UI_DAILY_CATEGORIES_VARIETY_DESC,Play in {n} different categories,Joue dans {n} catégories différentes
UI_DAILY_PLAY_GAMES_TITLE,Regular,Assidu
UI_DAILY_PLAY_GAMES_DESC,Play {n} games,Joue {n} parties
